Source,Target,Type
0.0.1.117,1.67.0.0,Directed
0.0.1.118,1.107.0.0,Directed
0.0.1.118,1.107.0.0,Directed
0.0.1.119,1.59.0.0,Directed
0.0.1.119,1.59.0.0,Directed
0.0.1.12,1.85.0.0,Directed
0.0.1.12,1.85.0.0,Directed
0.0.1.120,1.79.0.0,Directed
0.0.1.120,1.79.0.0,Directed
0.0.1.121,1.121.0.0,Directed
0.0.1.121,1.121.0.0,Directed
0.0.1.122,1.89.0.0,Directed
0.0.1.122,1.89.0.0,Directed
0.0.1.123,1.97.0.0,Directed
0.0.1.123,1.97.0.0,Directed
0.0.1.124,1.61.0.0,Directed
0.0.1.124,1.61.0.0,Directed
0.0.1.125,1.163.0.0,Directed
0.0.1.125,1.163.0.0,Directed
0.0.1.126,1.87.0.0,Directed
0.0.1.126,1.87.0.0,Directed
0.0.1.127,1.81.0.0,Directed
0.0.1.127,1.81.0.0,Directed
0.0.1.128,1.91.0.0,Directed
0.0.1.128,1.91.0.0,Directed
0.0.1.129,1.113.0.0,Directed
0.0.1.129,1.113.0.0,Directed
0.0.1.13,1.105.0.0,Directed
0.0.1.13,1.105.0.0,Directed
0.0.1.130,1.121.0.0,Directed
0.0.1.130,1.121.0.0,Directed
0.0.1.131,1.63.0.0,Directed
0.0.1.131,1.63.0.0,Directed
0.0.1.132,1.83.0.0,Directed
0.0.1.132,1.83.0.0,Directed
0.0.1.133,1.115.0.0,Directed
0.0.1.133,1.115.0.0,Directed
0.0.1.134,1.103.0.0,Directed
0.0.1.134,1.103.0.0,Directed
0.0.1.135,1.127.0.0,Directed
0.0.1.135,1.127.0.0,Directed
0.0.1.136,1.171.0.0,Directed
0.0.1.136,1.171.0.0,Directed
0.0.1.137,1.93.0.0,Directed
0.0.1.137,1.93.0.0,Directed
0.0.1.138,1.128.0.0,Directed
0.0.1.138,1.128.0.0,Directed
0.0.1.139,1.65.0.0,Directed
0.0.1.139,1.65.0.0,Directed
0.0.1.14,1.57.0.0,Directed
0.0.1.14,1.57.0.0,Directed
0.0.1.140,1.85.0.0,Directed
0.0.1.140,1.85.0.0,Directed
0.0.1.141,1.75.0.0,Directed
0.0.1.141,1.75.0.0,Directed
0.0.1.142,1.117.0.0,Directed
0.0.1.142,1.117.0.0,Directed
0.0.1.143,1.105.0.0,Directed
0.0.1.143,1.105.0.0,Directed
0.0.1.144,1.107.0.0,Directed
0.0.1.144,1.107.0.0,Directed
0.0.1.145,1.97.0.0,Directed
0.0.1.145,1.97.0.0,Directed
0.0.1.146,1.121.0.0,Directed
0.0.1.146,1.121.0.0,Directed
0.0.1.147,1.79.0.0,Directed
0.0.1.147,1.79.0.0,Directed
0.0.1.148,1.99.0.0,Directed
0.0.1.148,1.99.0.0,Directed
0.0.1.149,1.111.0.0,Directed
0.0.1.149,1.111.0.0,Directed
0.0.1.15,1.95.0.0,Directed
0.0.1.15,1.95.0.0,Directed
0.0.1.150,1.71.0.0,Directed
0.0.1.150,1.71.0.0,Directed
0.0.1.151,1.81.0.0,Directed
0.0.1.151,1.81.0.0,Directed
0.0.1.152,1.101.0.0,Directed
0.0.1.152,1.101.0.0,Directed
0.0.1.153,1.87.0.0,Directed
0.0.1.153,1.87.0.0,Directed
0.0.1.154,1.171.0.0,Directed
0.0.1.154,1.171.0.0,Directed
0.0.1.155,1.113.0.0,Directed
0.0.1.155,1.113.0.0,Directed
0.0.1.156,1.83.0.0,Directed
0.0.1.156,1.83.0.0,Directed
0.0.1.157,1.73.0.0,Directed
0.0.1.157,1.73.0.0,Directed
0.0.1.158,1.115.0.0,Directed
0.0.1.158,1.115.0.0,Directed
0.0.1.159,1.163.0.0,Directed
0.0.1.159,1.163.0.0,Directed
0.0.1.16,1.91.0.0,Directed
0.0.1.16,1.229.0.0,Directed
0.0.1.16,1.91.0.0,Directed
0.0.1.16,1.229.0.0,Directed
0.0.1.160,1.171.0.0,Directed
0.0.1.160,1.171.0.0,Directed
0.0.1.161,1.128.0.0,Directed
0.0.1.161,1.128.0.0,Directed
0.0.1.162,1.85.0.0,Directed
0.0.1.162,1.85.0.0,Directed
0.0.1.163,1.192.0.0,Directed
0.0.1.163,1.192.0.0,Directed
0.0.1.164,1.197.0.0,Directed
0.0.1.164,1.197.0.0,Directed
0.0.1.165,1.97.0.0,Directed
0.0.1.165,1.97.0.0,Directed
0.0.1.166,1.119.0.0,Directed
0.0.1.166,1.119.0.0,Directed
0.0.1.167,1.121.0.0,Directed
0.0.1.167,1.121.0.0,Directed
0.0.1.168,1.79.0.0,Directed
0.0.1.168,1.79.0.0,Directed
0.0.1.169,1.109.0.0,Directed
0.0.1.169,1.109.0.0,Directed
0.0.1.17,1.29.0.0,Directed
0.0.1.17,1.29.0.0,Directed
0.0.1.170,1.199.0.0,Directed
0.0.1.170,1.199.0.0,Directed
0.0.1.171,1.200.0.0,Directed
0.0.1.171,1.200.0.0,Directed
0.0.1.172,1.163.0.0,Directed
0.0.1.172,1.163.0.0,Directed
